genre,token,positive_sample_count,affected_samples,mean_probability_delta,mean_abs_probability_delta,mean_logit_delta
Thriller,his,42,19,-0.005336852646187732,0.014362090316257979,-0.052988904087167034
Thriller,is,55,19,0.0033628070040753015,0.016885226494387576,0.04200421508989836
Thriller,that,38,18,0.002973289332456059,0.02449789374238915,0.005261905491352081
Thriller,he,45,12,0.001322919192413489,0.010059759952127934,0.008324886361757914
Crime,the,181,29,-0.06740440993473448,0.07174891747277358,-0.4550310568562869
Crime,and,115,28,-0.03953598492911884,0.043684453304324834,-0.2609723923461778
Crime,his,63,23,-0.018290467236353004,0.027893850984780685,-0.09885495123655899
Crime,is,61,21,-0.012986708255041213,0.025036928199586413,-0.08196933070818584
Crime,they,40,12,-0.011097335567077002,0.015956358363231022,-0.05731875946124395
Crime,in,49,20,-0.01035488098859787,0.01464388519525528,-0.0543390691280365
Crime,of,65,24,-0.007309524963299434,0.03569957613945007,-0.0925500492254893
Crime,to,129,30,-0.006194091339906057,0.024562552074591317,-0.044226895272731784
Crime,that,40,19,-0.005607592432122482,0.016194000055915432,-0.030962976970170673
Crime,he,57,22,-3.219802271236073e-05,0.011133966798132116,-0.008140847764231941
Action,and,124,27,-0.02748520451563376,0.032716423824981404,-0.1799073925724736
Action,that,38,20,-0.026556982100009917,0.03246763497591019,-0.17824662029743193
Action,in,68,26,-0.024388953900107972,0.026426834412492238,-0.15554596254458794
Action,of,92,28,-0.020081435596304282,0.023469702074570314,-0.2096777090004512
Action,to,136,30,-0.016139168292284012,0.021449705710013707,-0.09676916102568309
Action,he,61,19,-0.015385961160063744,0.018093942321444813,-0.06964350217267086
Action,the,249,32,0.013193546794354916,0.03133634477853775,0.04724228847771883
Action,by,32,21,0.010786944911593483,0.018895075434730166,0.07018304154986427
Action,is,75,23,-0.006959842113049134,0.011921750300604364,-0.024199728084647137
Action,his,68,26,-0.006957726266521674,0.019097079881108724,-0.0810463921381877
Adventure,the,248,31,0.06071610752710952,0.061136894327993956,0.5559404319332492
Adventure,that,36,18,-0.011993002702689005,0.016580709398517177,-0.11019214325480992
Adventure,is,74,24,-0.010287808665452758,0.017074741632920148,-0.03126536806424459
Adventure,in,65,26,-0.00982371693960606,0.018020919537565742,-0.09785438844790825
Adventure,of,104,24,-0.009556768597879758,0.03270786226494238,-0.06516118968526523
Adventure,his,54,20,0.007852099082083442,0.011856505283503793,0.014027521014213562
Adventure,to,140,30,-0.0054572630693049485,0.016610640052628394,-0.07505887448787689
Adventure,he,42,16,-0.004916948280879296,0.01777983816282358,-0.04591551795601845
Adventure,with,45,21,-0.003962751120395426,0.017398463625882175,-0.06454659075964064
Adventure,and,149,31,-0.0018126474338538584,0.029074212867623916,-0.0840832446852038
Horror,the,266,31,0.04251308763219464,0.05649308403653483,0.37293769563398055
Horror,his,62,19,0.020473524143821316,0.023595717392469708,0.13877311819478086
Horror,with,39,19,0.01753634547716693,0.018014249244802875,0.17191838904430992
Horror,of,88,27,-0.017021544553615427,0.02966339830999021,-0.10493892872775043
Horror,he,51,18,0.014746737976868948,0.019749324354860518,0.08398833374182384
Horror,to,152,30,0.012666019052267075,0.028016876926024756,0.13830064137776693
Horror,that,58,20,0.012506881356239319,0.012874564528465271,0.16961110532283782
